currentLastName,birthName,firstName,nickname,nationality,height,weight,handedness,sponsor,rank,isFemale,playStyle
Garin,Garin,Cristian,Gago,Chilien,185,80,Droite,Head,24,false,ALL_AROUND
Opelka,Opelka,Reilly,Opey,Americain,211,102,Droite,Fila,25,false,AGGRESSIVE
Isner,Isner,John,Big John,Americain,208,108,Droite,Fila,26,false,AGGRESSIVE
Schwartzman,Schwartzman,Diego,Peque,Argentin,170,64,Droite,Fila,27,false,DEFENSIVE
Monfils,Monfils,Gael,La Monf,Francais,193,85,Droite,Asics,28,false,ALL_AROUND
Brooksby,Brooksby,Jenson,JTB,Americain,193,84,Droite,Lotto,29,false,ALL_AROUND
Van de Zandschulp,Van de Zandschulp,Botic,Botic,Hollandais,191,85,Droite,Diadora,30,false,ALL_AROUND
Ramos-Vinolas,Ramos-Vinolas,Albert,Ramos,Espagnol,188,80,Gauche,Joma,31,false,DEFENSIVE
Davidovich Fokina,Davidovich Fokina,Alejandro,Foki,Espagnol,183,79,Droite,Diadora,32,false,AGGRESSIVE
Humbert,Humbert,Ugo,Ugo,Francais,188,73,Gauche,Lacoste,33,false,ALL_AROUND
Kecmanovic,Kecmanovic,Miomir,Misha,Serbe,183,75,Droite,Nike,34,false,ALL_AROUND
Lehecka,Lehecka,Jiri,Jirka,Tcheque,185,80,Droite,Nike,35,false,AGGRESSIVE
Molcan,Molcan,Alex,Molly,Slovaque,180,75,Gauche,Adidas,36,false,ALL_AROUND
Giron,Giron,Marcos,Giron,Americain,180,77,Droite,Yonex,37,false,ALL_AROUND
Cressy,Cressy,Maxime,Cressy,Americain,198,84,Droite,Fila,38,false,AGGRESSIVE
Bonzi,Bonzi,Benjamin,Bonzi,Francais,185,78,Droite,Lacoste,39,false,ALL_AROUND
Rinderknech,Rinderknech,Arthur,Rinder,Francais,196,86,Droite,Le Coq Sportif,40,false,AGGRESSIVE
Griekspoor,Griekspoor,Tallon,Tallon,Hollandais,188,82,Droite,The Indian Maharadja,41,false,ALL_AROUND
Martinez,Martinez,Pedro,Pedro,Espagnol,185,77,Droite,Joma,42,false,ALL_AROUND
Lajovic,Lajovic,Dusan,Dutzee,Serbe,183,78,Droite,Asics,43,false,ALL_AROUND
Nakashima,Nakashima,Brandon,Brandon,Americain,185,77,Droite,Fila,44,false,ALL_AROUND
Baez,Baez,Sebastian,Seba,Argentin,170,66,Droite,Topper,45,false,DEFENSIVE
Mannarino,Mannarino,Adrian,Manna,Francais,180,75,Gauche,Hydrogen,46,false,ALL_AROUND
Fucsovics,Fucsovics,Marton,Fucso,Hongrois,188,82,Droite,Hydrogen,47,false,AGGRESSIVE
Djere,Djere,Laslo,Laci,Serbe,188,82,Droite,Le Coq Sportif,48,false,ALL_AROUND
Coria,Coria,Federico,Fede,Argentin,180,76,Droite,Lotto,49,false,DEFENSIVE
McDonald,McDonald,Mackenzie,Mackie,Americain,178,73,Droite,Fila,50,false,ALL_AROUND
Munar,Munar,Jaume,Jaume,Espagnol,183,75,Droite,Lotto,51,false,ALL_AROUND
Gaston,Gaston,Hugo,Gaston,Francais,173,68,Gauche,Artengo,52,false,ALL_AROUND
Ymer,Ymer,Mikael,Mikael,Suedois,183,75,Droite,Wilson,53,false,ALL_AROUND
Halys,Halys,Quentin,Quentin,Francais,191,85,Droite,Wilson,54,false,AGGRESSIVE
Popyrin,Popyrin,Alexei,Pop,Australien,196,78,Droite,Hydrogen,55,false,AGGRESSIVE
Vesely,Vesely,Jiri,Jiri,Tcheque,198,92,Gauche,Wilson,56,false,AGGRESSIVE
Gojowczyk,Gojowczyk,Peter,GoJo,Allemand,188,82,Droite,Babolat,57,false,ALL_AROUND
Moutet,Moutet,Corentin,Moutet,Francais,175,70,Gauche,Hydrogen,58,false,ALL_AROUND
Krajinovic,Krajinovic,Filip,Kraj,Serbe,185,75,Droite,Head,59,false,ALL_AROUND
Paul,Paul,Tommy,Tommy,Americain,185,82,Droite,New Balance,60,false,ALL_AROUND
Thompson,Thompson,Jordan,Thommo,Australien,183,77,Droite,New Balance,61,false,ALL_AROUND
Kwon,Kwon,Soon-woo,Kwon,Sud-Coreen,180,73,Droite,Fila,62,false,ALL_AROUND
Ivashka,Ivashka,Ilya,Ilya,Bielorusse,193,84,Droite,Asics,63,false,AGGRESSIVE
Otte,Otte,Oscar,Otte,Allemand,193,86,Droite,Diadora,64,false,ALL_AROUND
Altmaier,Altmaier,Daniel,Altmaier,Allemand,188,80,Droite,Wilson,65,false,ALL_AROUND
Kokkinakis,Kokkinakis,Thanasi,Kokk,Australien,193,84,Droite,Nike,66,false,AGGRESSIVE
Gasquet,Gasquet,Richard,Richie,Francais,185,75,Droite,Le Coq Sportif,67,false,ALL_AROUND
Murray,Murray,Andy,Muzza,Britannique,191,84,Droite,Castore,68,false,DEFENSIVE
Wawrinka,Wawrinka,Stan,Stan The Man,Suisse,183,81,Droite,Yonex,69,false,AGGRESSIVE
Thiem,Thiem,Dominic,Domi,Autrichien,185,79,Droite,Adidas,70,false,AGGRESSIVE
Nishikori,Nishikori,Kei,Kei,Japonais,178,75,Droite,Uniqlo,71,false,ALL_AROUND
Raonic,Raonic,Milos,Milos,Canadien,196,98,Droite,New Balance,72,false,AGGRESSIVE
Paire,Paire,Benoit,La Tige,Francais,196,80,Droite,Lacoste,73,false,AGGRESSIVE
Verdasco,Verdasco,Fernando,Fer,Espagnol,188,85,Gauche,Adidas,74,false,AGGRESSIVE
Lopez,Lopez,Feliciano,Feli,Espagnol,188,85,Gauche,Joma,75,false,AGGRESSIVE
Simon,Simon,Gilles,Gillou,Francais,183,70,Droite,Asics,76,false,DEFENSIVE
Tsonga,Tsonga,Jo-Wilfried,Jo,Francais,188,91,Droite,Artengo,77,false,AGGRESSIVE
Chardy,Chardy,Jeremy,Jez,Francais,188,75,Droite,Lacoste,78,false,ALL_AROUND
Pouille,Pouille,Lucas,La Pouille,Francais,185,84,Droite,Adidas,79,false,ALL_AROUND
Herbert,Herbert,Pierre-Hugues,P2H,Francais,180,75,Droite,Lacoste,80,false,ALL_AROUND
Andujar,Andujar,Pablo,Andu,Espagnol,180,76,Droite,Kelme,81,false,ALL_AROUND
Sousa,Sousa,Joao,Sousa,Portugais,185,77,Droite,Lotto,82,false,ALL_AROUND
Bedene,Bedene,Aljaz,Aljaz,Slovene,180,76,Droite,Erke,83,false,ALL_AROUND
Cuevas,Cuevas,Pablo,Cuevas,Uruguayen,180,80,Droite,Asics,84,false,ALL_AROUND
Cecchinato,Cecchinato,Marco,Ceck,Italien,185,78,Droite,Asics,85,false,ALL_AROUND
Berrettini,Berrettini,Matteo,Mat,Italien,196,95,Droite,Lotto,86,false,AGGRESSIVE
Fognini,Fognini,Fabio,Fogna,Italien,178,74,Droite,Hydrogen,87,false,AGGRESSIVE
Sonego,Sonego,Lorenzo,Sonny,Italien,191,80,Droite,Kappa,88,false,ALL_AROUND
Musetti,Musetti,Lorenzo,Muso,Italien,185,75,Droite,Nike,89,false,ALL_AROUND
Travaglia,Travaglia,Stefano,Steto,Italien,185,80,Droite,Hydrogen,90,false,ALL_AROUND
Seppi,Seppi,Andreas,Andi,Italien,191,78,Droite,Fila,91,false,ALL_AROUND
Mager,Mager,Gianluca,Mager,Italien,188,80,Droite,Legea,92,false,ALL_AROUND
Caruso,Caruso,Salvatore,Salvo,Italien,185,80,Droite,Legea,93,false,ALL_AROUND
Gombos,Gombos,Norbert,Noro,Slovaque,191,85,Droite,Mizuno,94,false,ALL_AROUND
Martin,Martin,Andrej,Andrej,Slovaque,185,78,Droite,Mizuno,95,false,ALL_AROUND
Kovalik,Kovalik,Jozef,Jozef,Slovaque,183,75,Droite,Mizuno,96,false,ALL_AROUND
Bagnis,Bagnis,Facundo,Facu,Argentin,183,80,Gauche,Topper,97,false,DEFENSIVE
Delbonis,Delbonis,Federico,Delbo,Argentin,193,90,Gauche,Topper,98,false,ALL_AROUND
Londero,Londero,Juan Ignacio,Topo,Argentin,180,75,Droite,Topper,99,false,ALL_AROUND
Mayer,Mayer,Leonardo,Leo,Argentin,188,80,Droite,Nike,100,false,ALL_AROUND
Pella,Pella,Guido,Guido,Argentin,183,78,Gauche,Fila,101,false,DEFENSIVE
Struff,Struff,Jan-Lennard,Struffi,Allemand,193,92,Droite,Diadora,102,false,AGGRESSIVE
Koepfer,Koepfer,Dominik,Koepfer,Allemand,180,79,Gauche,Hydrogen,103,false,ALL_AROUND
Hanfmann,Hanfmann,Yannick,Hanfmann,Allemand,193,86,Droite,Solinco,104,false,AGGRESSIVE
Marterer,Marterer,Maximilian,Maxi,Allemand,191,85,Gauche,Babolat,105,false,ALL_AROUND
Gerasimov,Gerasimov,Egor,Egor,Bielorusse,196,85,Droite,Joma,106,false,AGGRESSIVE
Berankis,Berankis,Ricardas,Rico,Lituanien,175,70,Droite,Joma,107,false,ALL_AROUND
Kukushkin,Kukushkin,Mikhail,Kukushkin,Kazakh,183,72,Droite,Asics,108,false,ALL_AROUND
Bublik,Bublik,Alexander,Sasha,Kazakh,196,82,Droite,Yonex,109,false,AGGRESSIVE
Donskoy,Donskoy,Evgeny,Donskoy,Russe,185,78,Droite,Asics,110,false,ALL_AROUND
Karlovic,Karlovic,Ivo,Dr. Ivo,Croate,211,104,Droite,Head,111,false,AGGRESSIVE
Bolelli,Bolelli,Simone,Bole,Italien,183,78,Droite,Nike,112,false,ALL_AROUND
Lorenzi,Lorenzi,Paolo,Paolino,Italien,183,78,Droite,Legea,113,false,ALL_AROUND
Istomin,Istomin,Denis,Denis,Ouzbek,188,88,Droite,Tecnifibre,114,false,ALL_AROUND
Dzumhur,Dzumhur,Damir,Dzum,Bosnien,175,70,Droite,Adidas,115,false,ALL_AROUND
Basic,Basic,Mirza,Mirza,Bosnien,188,80,Droite,Erke,116,false,ALL_AROUND
Albot,Albot,Radu,Radu,Moldave,175,70,Droite,Lotto,117,false,DEFENSIVE
Copil,Copil,Marius,Marius,Roumain,193,85,Droite,Wilson,118,false,AGGRESSIVE
Haase,Haase,Robin,Robin,Hollandais,191,80,Droite,Babolat,119,false,ALL_AROUND
Klizan,Klizan,Martin,Klizan,Slovaque,191,85,Gauche,Wilson,120,false,AGGRESSIVE
Lacko,Lacko,Lukas,Lukas,Slovaque,185,78,Droite,Babolat,121,false,ALL_AROUND
Soeda,Soeda,Go,Go,Japonais,178,70,Droite,Yonex,122,false,ALL_AROUND
Uchiyama,Uchiyama,Yasutaka,Yasu,Japonais,183,75,Droite,Wilson,123,false,ALL_AROUND
Sugita,Sugita,Yuichi,Sugi,Japonais,173,68,Droite,Babolat,124,false,ALL_AROUND
Daniel,Daniel,Taro,Taro,Japonais,191,76,Droite,Tecnifibre,125,false,ALL_AROUND
Duckworth,Duckworth,James,Ducky,Australien,183,82,Droite,Asics,126,false,ALL_AROUND
Millman,Millman,John,Milly,Australien,183,79,Droite,Asics,127,false,DEFENSIVE
Ebden,Ebden,Matthew,Matt,Australien,188,84,Droite,Asics,128,false,ALL_AROUND
